learned_per_gen,power_fit,polynomial_fit
4,2.860283156425435,-35.847707504051236
10,1.991448381632921,35.68345801533869
21,,-7.0922481307894705
40,,0.941583080774077
62,,-0.027152090293158827
91,,
131,,
177,,
226,,
292,,
356,,
430,,
510,,
598,,
695,,
796,,
901,,
965,,
999,,
1021,,
1024,,
