learned_per_gen,power_fit,polynomial_fit
4,3.395231227431887,-439.32844046872845
11,1.9937284207225607,135.03974615667974
24,,-6.312461928746861
47,,0.24166137829215323
79,,-0.0018873260021159816
118,,
166,,
215,,
275,,
333,,
401,,
483,,
574,,
661,,
765,,
872,,
983,,
1094,,
1226,,
1368,,
1509,,
1665,,
1819,,
1987,,
2156,,
2338,,
2514,,
2708,,
2898,,
3104,,
3301,,
3520,,
3742,,
3979,,
4217,,
4471,,
4729,,
4985,,
5256,,
5539,,
5820,,
6104,,
6409,,
6704,,
7028,,
7348,,
7672,,
8021,,
8367,,
8726,,
9089,,
9464,,
9824,,
10214,,
10600,,
10998,,
11401,,
11792,,
12209,,
12624,,
13068,,
13527,,
13973,,
14401,,
14744,,
15027,,
15262,,
15445,,
15620,,
15779,,
15911,,
16026,,
16119,,
16197,,
16252,,
16302,,
16341,,
16362,,
16379,,
16383,,
16384,,
