learned_per_gen,power_fit,polynomial_fit
4,6.304078410145041,-188.90260577914992
31,2.2939255200777873,175.71133821655042
87,,-35.94664407655105
176,,4.8631349417584175
295,,-0.14857169334344947
446,,
633,,
849,,
1087,,
1366,,
1677,,
2022,,
2396,,
2793,,
3227,,
3698,,
4002,,
4072,,
4094,,
4096,,
