learned_per_gen,power_fit
0.00390625,0.0007657855451389803
0.005859375,2.2770281561631225
0.0126953125,
0.01953125,
0.0322265625,
0.0478515625,
0.0654296875,
0.08984375,
0.1181640625,
0.1484375,
0.1865234375,
0.2158203125,
0.259765625,
0.302734375,
0.3525390625,
0.4228515625,
0.498046875,
0.5625,
0.6240234375,
0.6923828125,
0.755859375,
0.81640625,
0.8544921875,
0.892578125,
0.9267578125,
0.955078125,
0.970703125,
0.9794921875,
0.98828125,
0.9951171875,
0.998046875,
0.998046875,
0.9990234375,
1.0,
