learned_per_gen,power_fit,polynomial_fit
4,1.1038815005132203,-299.63357623871207
6,2.0985351379734123,69.76460399397884
10,,-2.7412463675935324
16,,0.09023928088681962
24,,-0.000533439028622404
33,,
51,,
70,,
91,,
110,,
128,,
160,,
194,,
223,,
265,,
308,,
359,,
421,,
482,,
546,,
620,,
692,,
763,,
844,,
942,,
1025,,
1111,,
1211,,
1302,,
1404,,
1515,,
1625,,
1736,,
1838,,
1957,,
2094,,
2229,,
2370,,
2512,,
2659,,
2796,,
2950,,
3102,,
3258,,
3412,,
3603,,
3790,,
3957,,
4139,,
4331,,
4519,,
4728,,
4932,,
5131,,
5342,,
5554,,
5779,,
6018,,
6250,,
6462,,
6720,,
6966,,
7215,,
7459,,
7736,,
8021,,
8267,,
8562,,
8836,,
9115,,
9389,,
9669,,
9971,,
10273,,
10569,,
10901,,
11210,,
11514,,
11822,,
12145,,
12462,,
12774,,
13101,,
13422,,
13718,,
13975,,
14208,,
14441,,
14622,,
14792,,
14942,,
15103,,
15255,,
15398,,
15514,,
15613,,
15711,,
15803,,
15888,,
15976,,
16051,,
16119,,
16176,,
16219,,
16264,,
16297,,
16326,,
16356,,
16374,,
16381,,
16384,,
