learned_per_gen,power_fit,polynomial_fit
4,2.280505521863816,-152.43647340447185
10,1.9506563746229235,44.44914643210168
22,,-1.1943153495845529
30,,0.07161402913608428
44,,-0.0004752102871837174
63,,
84,,
104,,
137,,
177,,
219,,
256,,
299,,
356,,
410,,
464,,
527,,
579,,
653,,
729,,
804,,
891,,
977,,
1077,,
1184,,
1272,,
1388,,
1499,,
1617,,
1737,,
1861,,
1974,,
2113,,
2229,,
2369,,
2532,,
2685,,
2835,,
2996,,
3169,,
3331,,
3501,,
3671,,
3855,,
4044,,
4230,,
4435,,
4629,,
4825,,
5052,,
5271,,
5489,,
5722,,
5950,,
6157,,
6371,,
6608,,
6852,,
7112,,
7369,,
7610,,
7862,,
8133,,
8397,,
8681,,
8958,,
9234,,
9532,,
9813,,
10118,,
10427,,
10752,,
11063,,
11389,,
11697,,
12030,,
12369,,
12678,,
12980,,
13296,,
13585,,
13847,,
14073,,
14294,,
14488,,
14678,,
14861,,
15018,,
15147,,
15283,,
15416,,
15523,,
15645,,
15732,,
15815,,
15886,,
15957,,
16020,,
16079,,
16136,,
16186,,
16224,,
16255,,
16284,,
16313,,
16334,,
16354,,
16363,,
16373,,
16382,,
16384,,
