learned_per_gen,power_fit
0.000244140625,0.0001266105737777179
0.00048828125,2.044283426591631
0.0010986328125,
0.001953125,
0.0028076171875,
0.00445556640625,
0.005859375,
0.00811767578125,
0.0108642578125,
0.01300048828125,
0.01531982421875,
0.0186767578125,
0.0224609375,
0.0263671875,
0.03045654296875,
0.03497314453125,
0.0404052734375,
0.0457763671875,
0.051513671875,
0.0572509765625,
0.06304931640625,
0.07049560546875,
0.07781982421875,
0.08526611328125,
0.09271240234375,
0.10009765625,
0.108154296875,
0.11663818359375,
0.12469482421875,
0.13348388671875,
0.14337158203125,
0.15185546875,
0.16180419921875,
0.17242431640625,
0.18328857421875,
0.1937255859375,
0.20513916015625,
0.21710205078125,
0.2301025390625,
0.24285888671875,
0.25555419921875,
0.2685546875,
0.281982421875,
0.29522705078125,
0.309814453125,
0.3243408203125,
0.33831787109375,
0.35406494140625,
0.36834716796875,
0.38262939453125,
0.399169921875,
0.4154052734375,
0.43121337890625,
0.4483642578125,
0.46453857421875,
0.48187255859375,
0.49957275390625,
0.51837158203125,
0.5386962890625,
0.55657958984375,
0.57635498046875,
0.5965576171875,
0.61669921875,
0.63720703125,
0.6572265625,
0.67718505859375,
0.6973876953125,
0.71820068359375,
0.73931884765625,
0.7608642578125,
0.7822265625,
0.80377197265625,
0.8245849609375,
0.8421630859375,
0.85906982421875,
0.8740234375,
0.88873291015625,
0.9014892578125,
0.91363525390625,
0.92437744140625,
0.93328857421875,
0.9420166015625,
0.94921875,
0.955322265625,
0.96142578125,
0.96722412109375,
0.9720458984375,
0.97650146484375,
0.980224609375,
0.98394775390625,
0.987060546875,
0.9903564453125,
0.9927978515625,
0.995361328125,
0.99700927734375,
0.9984130859375,
0.99920654296875,
0.99957275390625,
0.9998779296875,
0.9998779296875,
0.99993896484375,
0.99993896484375,
1.0,
