learned_per_gen,power_fit,polynomial_fit
4,6.849537887016122,-578.2727754492753
26,2.2409438125006167,318.12325256154145
86,,-32.25574914881504
174,,2.3629709545098665
292,,-0.0373281670665192
445,,
623,,
836,,
1081,,
1361,,
1669,,
2004,,
2378,,
2786,,
3218,,
3678,,
4179,,
4712,,
5266,,
5859,,
6480,,
7137,,
7814,,
8534,,
9273,,
10065,,
10879,,
11718,,
12581,,
13488,,
14437,,
15395,,
16015,,
16239,,
16346,,
16383,,
16384,,
