learned_per_gen,power_fit
0.000244140625,0.0002637179728203773
0.0010986328125,2.365896773861368
0.003173828125,
0.0069580078125,
0.0123291015625,
0.02020263671875,
0.0296630859375,
0.04022216796875,
0.05303955078125,
0.06787109375,
0.084716796875,
0.1031494140625,
0.1231689453125,
0.14453125,
0.16796875,
0.1944580078125,
0.22119140625,
0.25128173828125,
0.2822265625,
0.31427001953125,
0.3497314453125,
0.38751220703125,
0.4263916015625,
0.466064453125,
0.50872802734375,
0.55303955078125,
0.5992431640625,
0.647705078125,
0.69879150390625,
0.750732421875,
0.80499267578125,
0.86126708984375,
0.9085693359375,
0.945068359375,
0.9666748046875,
0.98046875,
0.9912109375,
0.99688720703125,
0.99932861328125,
0.9998779296875,
1.0,
