dataset,n_points,r_squared,coef_1,stderr_1,coef_2,stderr_2,coef_3,stderr_3
"TI, large (L=128, ρ0=0.1, δλ=0.4)",19054,0.9997283421844051,0.0266855374399051,0.00010570032399556743,,,,
"PI, large (L=128, ρ0=0.1, δλ=0.4)",6011,0.9999949951411062,0.0001600736483472491,2.4928645975748213e-5,-0.03579763284672719,0.00011885967846227611,,
"TI, small (L=32, ρ0=0.9, δλ=0.0)",257,0.9979346678476864,0.4453975663688912,0.0013465940971813268,,,,
"PI, small (L=32, ρ0=0.9, δλ=0.0)",252,0.999306828708707,0.018894202989474793,0.0012413732476907848,-0.624734719136624,0.005762598469530782,,
"Empirical (Roxas, 14 classrooms)",896,0.6331415591029144,0.1420061606727083,0.08565176173358999,0.6798702662445901,0.08833906689726322,0.12761528791554827,0.01994725386702215
