seat_config,class_size,rho0,delta_lambda,trial,status,completed_at
outer_corner,32,0.4,0.4,1,done,2026-07-23T23:53:15.172
outer_corner,48,0.4,0.0,1,done,2026-07-23T23:53:15.715
outer_corner,48,0.4,0.1,1,done,2026-07-23T23:53:16.136
outer_corner,48,0.4,0.2,1,done,2026-07-23T23:53:16.374
outer_corner,48,0.4,0.3,1,done,2026-07-23T23:53:16.922
outer_corner,48,0.4,0.4,1,done,2026-07-23T23:53:17.404
outer_corner,64,0.4,0.0,1,done,2026-07-23T23:53:19.928
outer_corner,64,0.4,0.1,1,done,2026-07-23T23:53:21.730
outer_corner,64,0.4,0.2,1,done,2026-07-23T23:53:23.469
outer_corner,64,0.4,0.3,1,done,2026-07-23T23:53:25.488
outer_corner,64,0.4,0.4,1,done,2026-07-23T23:53:27.601
outer_corner,96,0.4,0.0,1,done,2026-07-23T23:53:37.976
outer_corner,96,0.4,0.1,1,done,2026-07-23T23:53:46.453
outer_corner,96,0.4,0.2,1,done,2026-07-23T23:54:00.083
outer_corner,96,0.4,0.3,1,done,2026-07-23T23:54:12.431
outer_corner,96,0.4,0.4,1,done,2026-07-23T23:54:27.443
outer_corner,128,0.4,0.0,1,done,2026-07-23T23:55:03.058
outer_corner,128,0.4,0.1,1,done,2026-07-23T23:55:26.011
outer_corner,128,0.4,0.2,1,done,2026-07-23T23:55:49.969
outer_corner,128,0.4,0.3,1,done,2026-07-23T23:56:00.908
outer_corner,128,0.4,0.4,1,done,2026-07-23T23:56:09.737
outer_corner,32,0.5,0.0,1,done,2026-07-23T23:56:09.752
outer_corner,32,0.5,0.1,1,done,2026-07-23T23:56:09.805
outer_corner,32,0.5,0.2,1,done,2026-07-23T23:56:09.983
outer_corner,32,0.5,0.3,1,done,2026-07-23T23:56:10.003
outer_corner,32,0.5,0.4,1,done,2026-07-23T23:56:10.032
outer_corner,48,0.5,0.0,1,done,2026-07-23T23:56:10.472
outer_corner,48,0.5,0.1,1,done,2026-07-23T23:56:10.755
outer_corner,48,0.5,0.2,1,done,2026-07-23T23:56:11.190
outer_corner,48,0.5,0.3,1,done,2026-07-23T23:56:11.552
outer_corner,48,0.5,0.4,1,done,2026-07-23T23:56:12.133
outer_corner,64,0.5,0.0,1,done,2026-07-23T23:56:14.179
outer_corner,64,0.5,0.1,1,done,2026-07-23T23:56:15.938
outer_corner,64,0.5,0.2,1,done,2026-07-23T23:56:17.664
outer_corner,64,0.5,0.3,1,done,2026-07-23T23:56:19.448
outer_corner,64,0.5,0.4,1,done,2026-07-23T23:56:21.363
outer_corner,96,0.5,0.0,1,done,2026-07-23T23:56:29.725
outer_corner,96,0.5,0.1,1,done,2026-07-23T23:56:37.646
outer_corner,96,0.5,0.2,1,done,2026-07-23T23:56:51.097
