class_length,rho0,delta_lambda,trial,status,completed_at
48,0.5,0.4,1,done,2026-07-23T23:49:29.641
64,0.5,0.0,1,done,2026-07-23T23:49:29.686
64,0.5,0.1,1,done,2026-07-23T23:49:29.789
64,0.5,0.2,1,done,2026-07-23T23:49:29.879
64,0.5,0.3,1,done,2026-07-23T23:49:30.063
64,0.5,0.4,1,done,2026-07-23T23:49:30.229
96,0.5,0.0,1,done,2026-07-23T23:49:30.498
96,0.5,0.1,1,done,2026-07-23T23:49:31.078
96,0.5,0.2,1,done,2026-07-23T23:49:32.251
96,0.5,0.3,1,done,2026-07-23T23:49:33.609
96,0.5,0.4,1,done,2026-07-23T23:49:34.970
128,0.5,0.0,1,done,2026-07-23T23:49:35.972
128,0.5,0.1,1,done,2026-07-23T23:49:37.054
128,0.5,0.2,1,done,2026-07-23T23:49:38.620
128,0.5,0.3,1,done,2026-07-23T23:49:41.402
128,0.5,0.4,1,done,2026-07-23T23:49:48.393
32,0.6,0.0,1,done,2026-07-23T23:49:48.397
32,0.6,0.1,1,done,2026-07-23T23:49:48.403
32,0.6,0.2,1,done,2026-07-23T23:49:48.435
32,0.6,0.3,1,done,2026-07-23T23:49:48.443
32,0.6,0.4,1,done,2026-07-23T23:49:48.605
48,0.6,0.0,1,done,2026-07-23T23:49:48.664
48,0.6,0.1,1,done,2026-07-23T23:49:48.715
48,0.6,0.2,1,done,2026-07-23T23:49:49.133
48,0.6,0.3,1,done,2026-07-23T23:49:49.212
48,0.6,0.4,1,done,2026-07-23T23:49:49.342
64,0.6,0.0,1,done,2026-07-23T23:49:49.877
64,0.6,0.1,1,done,2026-07-23T23:49:50.697
64,0.6,0.2,1,done,2026-07-23T23:49:51.160
64,0.6,0.3,1,done,2026-07-23T23:49:51.651
64,0.6,0.4,1,done,2026-07-23T23:49:53.001
96,0.6,0.0,1,done,2026-07-23T23:49:53.952
96,0.6,0.1,1,done,2026-07-23T23:49:54.654
96,0.6,0.2,1,done,2026-07-23T23:49:55.339
96,0.6,0.3,1,done,2026-07-23T23:49:56.203
96,0.6,0.4,1,done,2026-07-23T23:50:04.032
128,0.6,0.0,1,done,2026-07-23T23:50:09.410
128,0.6,0.1,1,done,2026-07-23T23:50:14.219
128,0.6,0.2,1,done,2026-07-23T23:50:20.229
128,0.6,0.3,1,done,2026-07-23T23:50:27.816
128,0.6,0.4,1,done,2026-07-23T23:50:31.954
32,0.7,0.0,1,done,2026-07-23T23:50:31.960
32,0.7,0.1,1,done,2026-07-23T23:50:31.970
32,0.7,0.2,1,done,2026-07-23T23:50:31.981
32,0.7,0.3,1,done,2026-07-23T23:50:32.006
32,0.7,0.4,1,done,2026-07-23T23:50:35.565
48,0.7,0.0,1,done,2026-07-23T23:50:35.674
48,0.7,0.1,1,done,2026-07-23T23:50:35.969
48,0.7,0.2,1,done,2026-07-23T23:50:36.099
48,0.7,0.3,1,done,2026-07-23T23:50:36.254
48,0.7,0.4,1,done,2026-07-23T23:50:36.707
64,0.7,0.0,1,done,2026-07-23T23:50:37.179
64,0.7,0.1,1,done,2026-07-23T23:50:37.782
64,0.7,0.2,1,done,2026-07-23T23:50:39.317
64,0.7,0.3,1,done,2026-07-23T23:50:39.850
64,0.7,0.4,1,done,2026-07-23T23:50:40.688
96,0.7,0.0,1,done,2026-07-23T23:50:43.204
96,0.7,0.1,1,done,2026-07-23T23:50:45.790
96,0.7,0.2,1,done,2026-07-23T23:50:48.098
96,0.7,0.3,1,done,2026-07-23T23:50:51.388
96,0.7,0.4,1,done,2026-07-23T23:50:53.365
128,0.7,0.0,1,done,2026-07-23T23:50:58.316
128,0.7,0.1,1,done,2026-07-23T23:51:01.448
128,0.7,0.2,1,done,2026-07-23T23:51:04.271
128,0.7,0.3,1,done,2026-07-23T23:51:06.303
128,0.7,0.4,1,done,2026-07-23T23:51:08.765
32,0.8,0.0,1,done,2026-07-23T23:51:08.771
32,0.8,0.1,1,done,2026-07-23T23:51:08.778
32,0.8,0.2,1,done,2026-07-23T23:51:08.788
32,0.8,0.3,1,done,2026-07-23T23:51:08.802
32,0.8,0.4,1,done,2026-07-23T23:51:08.821
48,0.8,0.0,1,done,2026-07-23T23:51:08.914
48,0.8,0.1,1,done,2026-07-23T23:51:08.992
48,0.8,0.2,1,done,2026-07-23T23:51:09.118
48,0.8,0.3,1,done,2026-07-23T23:51:09.935
48,0.8,0.4,1,done,2026-07-23T23:51:10.018
64,0.8,0.0,1,done,2026-07-23T23:51:10.209
