seat_config,class_size,ρ,λ₀,δλ,m,ttl
outer_corner,128,1.0,0.5,0.1,2.0774 ± 0.0064,80.15 ± 0.27
outer_corner,128,1.0,0.5,0.2,2.0991 ± 0.0075,81.25 ± 0.24
outer_corner,128,1.0,0.5,0.3,2.105 ± 0.013,82.15 ± 0.29
outer_corner,128,1.0,0.5,0.4,2.224 ± 0.03,85.65 ± 0.46
center,32,0.1,0.5,0.0,2.05 ± 0.04,108.4 ± 2.1
center,32,0.1,0.5,0.1,2.039 ± 0.039,112.0 ± 1.2
center,32,0.1,0.5,0.2,2.067 ± 0.052,115.6 ± 2.2
center,32,0.1,0.5,0.3,2.038 ± 0.052,128.2 ± 2.3
center,32,0.1,0.5,0.4,2.003 ± 0.051,154.0 ± 3.7
center,32,0.2,0.5,0.0,2.027 ± 0.034,65.0 ± 1.5
center,32,0.2,0.5,0.1,2.095 ± 0.035,64.4 ± 1.3
center,32,0.2,0.5,0.2,2.14 ± 0.042,65.5 ± 1.7
center,32,0.2,0.5,0.3,2.093 ± 0.047,69.6 ± 1.1
center,32,0.2,0.5,0.4,1.988 ± 0.039,84.4 ± 2.6
center,32,0.3,0.5,0.0,2.082 ± 0.025,44.55 ± 0.75
center,32,0.3,0.5,0.1,2.054 ± 0.019,44.95 ± 0.58
center,32,0.3,0.5,0.2,2.045 ± 0.034,47.7 ± 1.0
center,32,0.3,0.5,0.3,2.07 ± 0.041,50.2 ± 1.2
center,32,0.3,0.5,0.4,2.138 ± 0.056,59.2 ± 2.2
center,32,0.4,0.5,0.0,2.104 ± 0.031,37.4 ± 0.43
center,32,0.4,0.5,0.1,2.064 ± 0.021,36.95 ± 0.46
center,32,0.4,0.5,0.2,2.113 ± 0.036,38.4 ± 0.46
center,32,0.4,0.5,0.3,2.137 ± 0.047,41.7 ± 0.52
center,32,0.4,0.5,0.4,2.094 ± 0.034,49.2 ± 1.3
center,32,0.5,0.5,0.0,2.076 ± 0.025,31.9 ± 0.5
center,32,0.5,0.5,0.1,2.059 ± 0.023,31.9 ± 0.38
center,32,0.5,0.5,0.2,2.17 ± 0.03,32.75 ± 0.44
center,32,0.5,0.5,0.3,2.053 ± 0.029,35.05 ± 0.63
center,32,0.5,0.5,0.4,2.214 ± 0.079,39.45 ± 0.59
center,32,0.6,0.5,0.0,2.102 ± 0.022,29.0 ± 0.36
center,32,0.6,0.5,0.1,2.098 ± 0.023,29.0 ± 0.32
center,32,0.6,0.5,0.2,2.139 ± 0.026,29.3 ± 0.31
center,32,0.6,0.5,0.3,2.021 ± 0.021,31.5 ± 0.6
center,32,0.6,0.5,0.4,2.056 ± 0.04,36.4 ± 1.2
center,32,0.7,0.5,0.0,2.112 ± 0.022,26.4 ± 0.31
center,32,0.7,0.5,0.1,2.102 ± 0.019,26.1 ± 0.2
center,32,0.7,0.5,0.2,2.091 ± 0.024,26.65 ± 0.37
center,32,0.7,0.5,0.3,2.087 ± 0.029,28.0 ± 0.44
center,32,0.7,0.5,0.4,2.026 ± 0.029,31.7 ± 1.0
center,32,0.8,0.5,0.0,2.09 ± 0.014,25.05 ± 0.26
center,32,0.8,0.5,0.1,2.065 ± 0.016,24.65 ± 0.26
center,32,0.8,0.5,0.2,2.091 ± 0.02,25.15 ± 0.29
center,32,0.8,0.5,0.3,2.129 ± 0.029,26.45 ± 0.49
center,32,0.8,0.5,0.4,2.16 ± 0.035,29.0 ± 0.45
center,32,0.9,0.5,0.0,2.084 ± 0.012,23.05 ± 0.21
center,32,0.9,0.5,0.1,2.079 ± 0.018,23.55 ± 0.2
center,32,0.9,0.5,0.2,2.067 ± 0.017,23.5 ± 0.22
center,32,0.9,0.5,0.3,2.064 ± 0.024,24.5 ± 0.26
center,32,0.9,0.5,0.4,2.175 ± 0.061,27.9 ± 0.66
center,32,1.0,0.5,0.0,2.09 ± 0.012,22.1 ± 0.19
center,32,1.0,0.5,0.1,2.076 ± 0.013,22.35 ± 0.17
center,32,1.0,0.5,0.2,2.069 ± 0.02,22.35 ± 0.22
center,32,1.0,0.5,0.3,2.091 ± 0.015,23.15 ± 0.36
center,32,1.0,0.5,0.4,2.091 ± 0.034,25.5 ± 0.59
center,48,0.1,0.5,0.0,2.092 ± 0.035,152.6 ± 1.7
center,48,0.1,0.5,0.1,2.124 ± 0.036,159.2 ± 1.7
center,48,0.1,0.5,0.2,2.059 ± 0.029,160.0 ± 1.8
center,48,0.1,0.5,0.3,2.081 ± 0.036,176.0 ± 2.8
center,48,0.1,0.5,0.4,2.098 ± 0.041,205.2 ± 3.7
center,48,0.2,0.5,0.0,2.099 ± 0.027,86.2 ± 1.1
center,48,0.2,0.5,0.1,2.088 ± 0.033,87.8 ± 1.3
center,48,0.2,0.5,0.2,2.075 ± 0.03,91.3 ± 1.2
center,48,0.2,0.5,0.3,2.137 ± 0.028,99.6 ± 1.6
center,48,0.2,0.5,0.4,2.169 ± 0.059,107.0 ± 2.0
center,48,0.3,0.5,0.0,2.134 ± 0.023,65.1 ± 0.58
center,48,0.3,0.5,0.1,2.114 ± 0.019,65.2 ± 0.85
center,48,0.3,0.5,0.2,2.103 ± 0.02,66.35 ± 0.81
center,48,0.3,0.5,0.3,2.096 ± 0.029,70.6 ± 1.1
center,48,0.3,0.5,0.4,2.093 ± 0.031,81.7 ± 1.5
center,48,0.4,0.5,0.0,2.11 ± 0.018,52.45 ± 0.53
center,48,0.4,0.5,0.1,2.138 ± 0.023,54.7 ± 0.69
center,48,0.4,0.5,0.2,2.092 ± 0.024,53.3 ± 0.42
center,48,0.4,0.5,0.3,2.057 ± 0.024,57.6 ± 1.2
center,48,0.4,0.5,0.4,2.209 ± 0.044,66.0 ± 1.5
center,48,0.5,0.5,0.0,2.113 ± 0.016,45.6 ± 0.32
center,48,0.5,0.5,0.1,2.069 ± 0.012,44.95 ± 0.4
center,48,0.5,0.5,0.2,2.078 ± 0.017,46.85 ± 0.69
center,48,0.5,0.5,0.3,2.141 ± 0.026,49.75 ± 0.77
center,48,0.5,0.5,0.4,2.219 ± 0.053,56.25 ± 0.99
center,48,0.6,0.5,0.0,2.114 ± 0.015,41.05 ± 0.37
center,48,0.6,0.5,0.1,2.133 ± 0.015,42.05 ± 0.53
center,48,0.6,0.5,0.2,2.138 ± 0.014,42.25 ± 0.46
center,48,0.6,0.5,0.3,2.129 ± 0.016,43.85 ± 0.35
center,48,0.6,0.5,0.4,2.102 ± 0.04,48.2 ± 0.68
center,48,0.7,0.5,0.0,2.089 ± 0.014,38.05 ± 0.2
center,48,0.7,0.5,0.1,2.106 ± 0.018,38.55 ± 0.46
center,48,0.7,0.5,0.2,2.086 ± 0.02,38.5 ± 0.37
center,48,0.7,0.5,0.3,2.096 ± 0.017,40.45 ± 0.41
center,48,0.7,0.5,0.4,2.132 ± 0.031,44.5 ± 0.58
center,48,0.8,0.5,0.0,2.092 ± 0.012,35.6 ± 0.24
center,48,0.8,0.5,0.1,2.107 ± 0.014,35.6 ± 0.3
center,48,0.8,0.5,0.2,2.09 ± 0.016,36.25 ± 0.28
center,48,0.8,0.5,0.3,2.102 ± 0.021,37.45 ± 0.37
center,48,0.8,0.5,0.4,2.049 ± 0.023,40.2 ± 0.62
center,48,0.9,0.5,0.0,2.09 ± 0.012,33.2 ± 0.22
center,48,0.9,0.5,0.1,2.068 ± 0.014,33.75 ± 0.22
center,48,0.9,0.5,0.2,2.094 ± 0.011,33.95 ± 0.29
center,48,0.9,0.5,0.3,2.093 ± 0.013,36.0 ± 0.33
center,48,0.9,0.5,0.4,2.109 ± 0.029,38.35 ± 0.44
center,48,1.0,0.5,0.0,2.08 ± 0.01,31.95 ± 0.21
center,48,1.0,0.5,0.1,2.071 ± 0.01,32.2 ± 0.14
center,48,1.0,0.5,0.2,2.095 ± 0.015,32.9 ± 0.26
center,48,1.0,0.5,0.3,2.095 ± 0.017,34.0 ± 0.36
center,48,1.0,0.5,0.4,2.114 ± 0.022,36.25 ± 0.6
center,64,0.1,0.5,0.0,2.129 ± 0.023,200.5 ± 2.3
center,64,0.1,0.5,0.1,2.101 ± 0.021,193.8 ± 2.3
center,64,0.1,0.5,0.2,2.153 ± 0.03,206.6 ± 2.4
center,64,0.1,0.5,0.3,2.114 ± 0.028,222.3 ± 2.3
center,64,0.1,0.5,0.4,2.195 ± 0.041,264.6 ± 3.7
center,64,0.2,0.5,0.0,2.124 ± 0.027,113.4 ± 1.1
center,64,0.2,0.5,0.1,2.102 ± 0.024,110.15 ± 0.93
center,64,0.2,0.5,0.2,2.118 ± 0.024,116.4 ± 1.3
center,64,0.2,0.5,0.3,2.151 ± 0.023,124.4 ± 1.8
center,64,0.2,0.5,0.4,2.097 ± 0.049,139.9 ± 2.5
center,64,0.3,0.5,0.0,2.134 ± 0.016,82.0 ± 0.82
center,64,0.3,0.5,0.1,2.108 ± 0.021,83.9 ± 0.8
center,64,0.3,0.5,0.2,2.132 ± 0.022,85.7 ± 0.9
center,64,0.3,0.5,0.3,2.123 ± 0.027,89.7 ± 1.0
center,64,0.3,0.5,0.4,2.147 ± 0.032,98.7 ± 1.2
center,64,0.4,0.5,0.0,2.101 ± 0.015,67.2 ± 0.57
center,64,0.4,0.5,0.1,2.13 ± 0.021,69.0 ± 0.44
center,64,0.4,0.5,0.2,2.102 ± 0.017,69.7 ± 0.79
center,64,0.4,0.5,0.3,2.145 ± 0.016,73.6 ± 0.65
center,64,0.4,0.5,0.4,2.129 ± 0.026,81.2 ± 1.2
center,64,0.5,0.5,0.0,2.082 ± 0.015,59.5 ± 0.37
center,64,0.5,0.5,0.1,2.102 ± 0.015,59.7 ± 0.51
center,64,0.5,0.5,0.2,2.136 ± 0.021,61.75 ± 0.52
center,64,0.5,0.5,0.3,2.089 ± 0.013,63.6 ± 0.7
center,64,0.5,0.5,0.4,2.104 ± 0.021,72.0 ± 1.6
center,64,0.6,0.5,0.0,2.099 ± 0.011,53.75 ± 0.43
center,64,0.6,0.5,0.1,2.1093 ± 0.0097,54.1 ± 0.6
center,64,0.6,0.5,0.2,2.089 ± 0.012,54.8 ± 0.52
center,64,0.6,0.5,0.3,2.132 ± 0.018,57.65 ± 0.45
center,64,0.6,0.5,0.4,2.127 ± 0.024,63.3 ± 0.91
center,64,0.7,0.5,0.0,2.094 ± 0.011,49.25 ± 0.37
center,64,0.7,0.5,0.1,2.11 ± 0.013,50.0 ± 0.35
center,64,0.7,0.5,0.2,2.119 ± 0.014,50.45 ± 0.41
center,64,0.7,0.5,0.3,2.105 ± 0.014,52.5 ± 0.43
center,64,0.7,0.5,0.4,2.137 ± 0.025,56.45 ± 0.78
center,64,0.8,0.5,0.0,2.0822 ± 0.007,46.55 ± 0.3
center,64,0.8,0.5,0.1,2.073 ± 0.011,46.3 ± 0.26
center,64,0.8,0.5,0.2,2.09 ± 0.01,47.6 ± 0.3
center,64,0.8,0.5,0.3,2.113 ± 0.016,48.9 ± 0.49
center,64,0.8,0.5,0.4,2.091 ± 0.024,52.55 ± 0.96
center,64,0.9,0.5,0.0,2.0767 ± 0.0081,43.85 ± 0.27
center,64,0.9,0.5,0.1,2.075 ± 0.011,44.55 ± 0.25
center,64,0.9,0.5,0.2,2.0905 ± 0.0087,45.4 ± 0.33
center,64,0.9,0.5,0.3,2.103 ± 0.025,45.8 ± 0.51
center,64,0.9,0.5,0.4,2.107 ± 0.02,48.8 ± 0.5
center,64,1.0,0.5,0.0,2.064 ± 0.01,42.3 ± 0.25
center,64,1.0,0.5,0.1,2.0721 ± 0.007,42.2 ± 0.3
center,64,1.0,0.5,0.2,2.0781 ± 0.0066,43.45 ± 0.29
center,64,1.0,0.5,0.3,2.072 ± 0.013,43.4 ± 0.28
center,64,1.0,0.5,0.4,2.098 ± 0.013,47.1 ± 0.58
center,96,0.1,0.5,0.0,2.115 ± 0.024,282.4 ± 3.3
center,96,0.1,0.5,0.1,2.132 ± 0.02,280.2 ± 2.6
center,96,0.1,0.5,0.2,2.109 ± 0.022,291.8 ± 2.6
center,96,0.1,0.5,0.3,2.134 ± 0.03,311.4 ± 3.7
center,96,0.1,0.5,0.4,2.143 ± 0.025,360.4 ± 4.4
center,96,0.2,0.5,0.0,2.12 ± 0.019,159.4 ± 1.3
center,96,0.2,0.5,0.1,2.092 ± 0.013,161.7 ± 1.4
center,96,0.2,0.5,0.2,2.095 ± 0.019,162.5 ± 0.89
center,96,0.2,0.5,0.3,2.109 ± 0.019,178.2 ± 1.8
center,96,0.2,0.5,0.4,2.176 ± 0.025,199.5 ± 2.3
center,96,0.3,0.5,0.0,2.155 ± 0.016,120.2 ± 0.94
center,96,0.3,0.5,0.1,2.103 ± 0.016,121.6 ± 1.0
center,96,0.3,0.5,0.2,2.104 ± 0.016,122.15 ± 0.9
center,96,0.3,0.5,0.3,2.145 ± 0.018,129.6 ± 1.7
center,96,0.3,0.5,0.4,2.168 ± 0.025,142.0 ± 1.6
center,96,0.4,0.5,0.0,2.112 ± 0.013,98.3 ± 0.84
center,96,0.4,0.5,0.1,2.116 ± 0.013,98.6 ± 0.45
center,96,0.4,0.5,0.2,2.101 ± 0.018,100.9 ± 0.8
center,96,0.4,0.5,0.3,2.063 ± 0.016,104.9 ± 0.85
center,96,0.4,0.5,0.4,2.14 ± 0.021,118.7 ± 1.6
center,96,0.5,0.5,0.0,2.103 ± 0.011,86.65 ± 0.42
center,96,0.5,0.5,0.1,2.103 ± 0.0083,87.3 ± 0.53
center,96,0.5,0.5,0.2,2.148 ± 0.013,88.85 ± 0.64
center,96,0.5,0.5,0.3,2.098 ± 0.018,92.05 ± 0.84
center,96,0.5,0.5,0.4,2.171 ± 0.023,100.2 ± 1.0
center,96,0.6,0.5,0.0,2.108 ± 0.012,78.05 ± 0.31
center,96,0.6,0.5,0.1,2.09 ± 0.011,78.3 ± 0.43
center,96,0.6,0.5,0.2,2.071 ± 0.013,80.7 ± 0.53
center,96,0.6,0.5,0.3,2.12 ± 0.016,81.6 ± 0.47
center,96,0.6,0.5,0.4,2.129 ± 0.019,90.9 ± 0.93
center,96,0.7,0.5,0.0,2.0869 ± 0.0086,72.55 ± 0.38
center,96,0.7,0.5,0.1,2.0747 ± 0.0076,72.95 ± 0.37
center,96,0.7,0.5,0.2,2.087 ± 0.0093,73.6 ± 0.35
center,96,0.7,0.5,0.3,2.0797 ± 0.0099,75.65 ± 0.51
center,96,0.7,0.5,0.4,2.103 ± 0.016,81.15 ± 0.97
center,96,0.8,0.5,0.0,2.089 ± 0.006,67.95 ± 0.28
center,96,0.8,0.5,0.1,2.0821 ± 0.0086,68.35 ± 0.33
center,96,0.8,0.5,0.2,2.0809 ± 0.0099,68.85 ± 0.28
center,96,0.8,0.5,0.3,2.088 ± 0.011,71.15 ± 0.42
center,96,0.8,0.5,0.4,2.102 ± 0.023,75.85 ± 0.87
center,96,0.9,0.5,0.0,2.0612 ± 0.0056,64.3 ± 0.19
center,96,0.9,0.5,0.1,2.0566 ± 0.0064,65.1 ± 0.26
center,96,0.9,0.5,0.2,2.0734 ± 0.008,65.4 ± 0.21
center,96,0.9,0.5,0.3,2.0808 ± 0.0073,67.5 ± 0.49
center,96,0.9,0.5,0.4,2.114 ± 0.013,71.45 ± 0.52
center,96,1.0,0.5,0.0,2.0588 ± 0.0041,62.2 ± 0.17
center,96,1.0,0.5,0.1,2.0636 ± 0.0055,62.3 ± 0.19
center,96,1.0,0.5,0.2,2.0595 ± 0.0063,62.75 ± 0.2
center,96,1.0,0.5,0.3,2.079 ± 0.01,64.4 ± 0.28
center,96,1.0,0.5,0.4,2.093 ± 0.012,67.2 ± 0.57
center,128,0.1,0.5,0.0,2.138 ± 0.014,367.8 ± 2.8
center,128,0.1,0.5,0.1,2.115 ± 0.018,370.1 ± 2.6
center,128,0.1,0.5,0.2,2.141 ± 0.022,386.2 ± 2.7
center,128,0.1,0.5,0.3,2.139 ± 0.018,408.6 ± 3.2
center,128,0.1,0.5,0.4,2.197 ± 0.023,454.8 ± 4.2
center,128,0.2,0.5,0.0,2.118 ± 0.011,206.8 ± 1.1
center,128,0.2,0.5,0.1,2.113 ± 0.017,210.0 ± 1.5
center,128,0.2,0.5,0.2,2.1 ± 0.013,214.3 ± 1.0
center,128,0.2,0.5,0.3,2.116 ± 0.017,228.8 ± 2.2
center,128,0.2,0.5,0.4,2.129 ± 0.021,255.4 ± 3.0
center,128,0.3,0.5,0.0,2.085 ± 0.012,155.45 ± 0.9
center,128,0.3,0.5,0.1,2.099 ± 0.012,156.2 ± 0.86
center,128,0.3,0.5,0.2,2.116 ± 0.013,160.95 ± 0.97
center,128,0.3,0.5,0.3,2.127 ± 0.016,168.6 ± 1.8
center,128,0.3,0.5,0.4,2.163 ± 0.02,184.6 ± 2.0
center,128,0.4,0.5,0.0,2.108 ± 0.0089,128.65 ± 0.75
center,128,0.4,0.5,0.1,2.111 ± 0.011,129.75 ± 0.69
center,128,0.4,0.5,0.2,2.128 ± 0.014,134.1 ± 0.7
center,128,0.4,0.5,0.3,2.129 ± 0.013,135.85 ± 0.81
center,128,0.4,0.5,0.4,2.146 ± 0.02,150.0 ± 1.2
center,128,0.5,0.5,0.0,2.096 ± 0.011,113.2 ± 0.56
center,128,0.5,0.5,0.1,2.086 ± 0.0087,112.9 ± 0.48
center,128,0.5,0.5,0.2,2.095 ± 0.011,115.15 ± 0.69
center,128,0.5,0.5,0.3,2.114 ± 0.017,120.0 ± 0.77
center,128,0.5,0.5,0.4,2.132 ± 0.021,130.8 ± 1.2
center,128,0.6,0.5,0.0,2.0724 ± 0.0078,102.7 ± 0.53
center,128,0.6,0.5,0.1,2.0985 ± 0.0073,102.2 ± 0.47
center,128,0.6,0.5,0.2,2.092 ± 0.01,104.5 ± 0.44
center,128,0.6,0.5,0.3,2.106 ± 0.011,107.45 ± 0.6
center,128,0.6,0.5,0.4,2.121 ± 0.016,115.4 ± 1.1
center,128,0.7,0.5,0.0,2.0694 ± 0.007,95.0 ± 0.28
center,128,0.7,0.5,0.1,2.0923 ± 0.0088,95.35 ± 0.34
center,128,0.7,0.5,0.2,2.081 ± 0.0088,97.75 ± 0.51
center,128,0.7,0.5,0.3,2.088 ± 0.011,99.35 ± 0.62
center,128,0.7,0.5,0.4,2.117 ± 0.013,106.4 ± 0.87
center,128,0.8,0.5,0.0,2.0715 ± 0.0064,89.5 ± 0.35
center,128,0.8,0.5,0.1,2.0662 ± 0.0067,90.15 ± 0.35
center,128,0.8,0.5,0.2,2.0773 ± 0.0063,91.35 ± 0.39
center,128,0.8,0.5,0.3,2.0781 ± 0.0075,93.0 ± 0.39
center,128,0.8,0.5,0.4,2.101 ± 0.013,98.7 ± 1.0
center,128,0.9,0.5,0.0,2.0596 ± 0.0057,85.05 ± 0.34
center,128,0.9,0.5,0.1,2.0578 ± 0.0064,85.35 ± 0.3
center,128,0.9,0.5,0.2,2.0594 ± 0.006,86.65 ± 0.35
center,128,0.9,0.5,0.3,2.0853 ± 0.0087,88.9 ± 0.5
center,128,0.9,0.5,0.4,2.0897 ± 0.0095,93.4 ± 0.72
center,128,1.0,0.5,0.0,2.0545 ± 0.0059,81.75 ± 0.22
center,128,1.0,0.5,0.1,2.0515 ± 0.006,81.8 ± 0.29
center,128,1.0,0.5,0.2,2.0541 ± 0.0049,82.7 ± 0.28
center,128,1.0,0.5,0.3,2.066 ± 0.0052,84.55 ± 0.29
center,128,1.0,0.5,0.4,2.094 ± 0.012,88.85 ± 0.51
random,32,0.1,0.5,0.0,1.644 ± 0.046,114.3 ± 4.1
random,32,0.1,0.5,0.1,1.583 ± 0.044,114.6 ± 3.2
random,32,0.1,0.5,0.2,1.65 ± 0.048,108.8 ± 3.0
random,32,0.1,0.5,0.3,1.536 ± 0.058,127.4 ± 4.3
random,32,0.1,0.5,0.4,1.628 ± 0.079,135.0 ± 4.8
random,32,0.2,0.5,0.0,1.597 ± 0.061,60.9 ± 2.3
random,32,0.2,0.5,0.1,1.568 ± 0.055,62.2 ± 2.6
random,32,0.2,0.5,0.2,1.687 ± 0.055,62.0 ± 2.5
random,32,0.2,0.5,0.3,1.511 ± 0.045,73.4 ± 2.3
random,32,0.2,0.5,0.4,1.634 ± 0.07,82.5 ± 3.1
random,32,0.3,0.5,0.0,1.707 ± 0.059,43.6 ± 1.3
random,32,0.3,0.5,0.1,1.671 ± 0.062,44.0 ± 1.5
random,32,0.3,0.5,0.2,1.598 ± 0.041,48.0 ± 1.1
random,32,0.3,0.5,0.3,1.639 ± 0.057,49.6 ± 1.7
random,32,0.3,0.5,0.4,1.641 ± 0.064,59.4 ± 2.2
random,32,0.4,0.5,0.0,1.708 ± 0.05,36.0 ± 1.3
random,32,0.4,0.5,0.1,1.688 ± 0.057,35.2 ± 0.93
random,32,0.4,0.5,0.2,1.669 ± 0.066,38.7 ± 1.4
random,32,0.4,0.5,0.3,1.614 ± 0.059,41.8 ± 1.2
random,32,0.4,0.5,0.4,1.698 ± 0.071,47.4 ± 1.8
random,32,0.5,0.5,0.0,1.682 ± 0.048,31.2 ± 1.1
random,32,0.5,0.5,0.1,1.741 ± 0.066,31.6 ± 1.3
random,32,0.5,0.5,0.2,1.727 ± 0.046,31.95 ± 0.81
random,32,0.5,0.5,0.3,1.74 ± 0.066,33.5 ± 1.1
random,32,0.5,0.5,0.4,1.657 ± 0.069,40.2 ± 1.4
random,32,0.6,0.5,0.0,1.624 ± 0.047,30.3 ± 0.9
random,32,0.6,0.5,0.1,1.665 ± 0.056,28.8 ± 1.0
random,32,0.6,0.5,0.2,1.688 ± 0.074,29.9 ± 1.1
random,32,0.6,0.5,0.3,1.683 ± 0.06,31.0 ± 1.0
random,32,0.6,0.5,0.4,1.653 ± 0.079,37.8 ± 1.4
random,32,0.7,0.5,0.0,1.674 ± 0.055,26.4 ± 0.91
random,32,0.7,0.5,0.1,1.621 ± 0.052,27.2 ± 1.0
random,32,0.7,0.5,0.2,1.668 ± 0.049,28.15 ± 1.0
random,32,0.7,0.5,0.3,1.744 ± 0.063,29.2 ± 1.0
random,32,0.7,0.5,0.4,1.659 ± 0.073,32.4 ± 1.4
random,32,0.8,0.5,0.0,1.681 ± 0.063,25.1 ± 0.9
random,32,0.8,0.5,0.1,1.661 ± 0.045,24.3 ± 0.8
random,32,0.8,0.5,0.2,1.624 ± 0.054,26.2 ± 0.91
random,32,0.8,0.5,0.3,1.734 ± 0.059,24.7 ± 0.64
random,32,0.8,0.5,0.4,1.591 ± 0.056,31.8 ± 1.1
random,32,0.9,0.5,0.0,1.52 ± 0.051,24.3 ± 0.73
random,32,0.9,0.5,0.1,1.639 ± 0.067,24.6 ± 1.1
random,32,0.9,0.5,0.2,1.675 ± 0.058,24.4 ± 0.78
random,32,0.9,0.5,0.3,1.656 ± 0.059,25.05 ± 0.87
random,32,0.9,0.5,0.4,1.779 ± 0.07,27.2 ± 0.77
random,32,1.0,0.5,0.0,1.641 ± 0.048,22.5 ± 0.91
random,32,1.0,0.5,0.1,1.626 ± 0.057,23.35 ± 0.75
random,32,1.0,0.5,0.2,1.63 ± 0.066,23.4 ± 0.86
random,32,1.0,0.5,0.3,1.655 ± 0.058,24.5 ± 0.79
random,32,1.0,0.5,0.4,1.77 ± 0.056,24.55 ± 0.92
random,48,0.1,0.5,0.0,1.613 ± 0.055,157.6 ± 6.2
random,48,0.1,0.5,0.1,1.59 ± 0.04,158.1 ± 5.0
random,48,0.1,0.5,0.2,1.652 ± 0.055,154.8 ± 5.2
random,48,0.1,0.5,0.3,1.736 ± 0.063,163.9 ± 5.6
random,48,0.1,0.5,0.4,1.632 ± 0.063,195.6 ± 6.4
random,48,0.2,0.5,0.0,1.629 ± 0.055,85.4 ± 2.7
random,48,0.2,0.5,0.1,1.705 ± 0.048,80.8 ± 2.1
random,48,0.2,0.5,0.2,1.722 ± 0.068,87.0 ± 3.3
random,48,0.2,0.5,0.3,1.682 ± 0.051,89.8 ± 3.0
random,48,0.2,0.5,0.4,1.558 ± 0.036,111.0 ± 3.0
random,48,0.3,0.5,0.0,1.66 ± 0.059,63.8 ± 2.8
random,48,0.3,0.5,0.1,1.566 ± 0.06,66.7 ± 2.3
random,48,0.3,0.5,0.2,1.633 ± 0.048,64.0 ± 2.0
random,48,0.3,0.5,0.3,1.619 ± 0.059,73.0 ± 2.0
random,48,0.3,0.5,0.4,1.614 ± 0.064,80.6 ± 2.8
random,48,0.4,0.5,0.0,1.603 ± 0.045,52.4 ± 1.5
random,48,0.4,0.5,0.1,1.626 ± 0.052,54.4 ± 1.5
random,48,0.4,0.5,0.2,1.701 ± 0.043,51.7 ± 1.5
random,48,0.4,0.5,0.3,1.635 ± 0.06,57.2 ± 1.9
random,48,0.4,0.5,0.4,1.637 ± 0.056,64.4 ± 1.9
random,48,0.5,0.5,0.0,1.605 ± 0.05,47.0 ± 1.5
random,48,0.5,0.5,0.1,1.701 ± 0.049,45.0 ± 1.6
random,48,0.5,0.5,0.2,1.635 ± 0.059,46.4 ± 2.0
random,48,0.5,0.5,0.3,1.657 ± 0.067,49.0 ± 1.6
random,48,0.5,0.5,0.4,1.677 ± 0.052,52.8 ± 1.5
random,48,0.6,0.5,0.0,1.579 ± 0.05,42.8 ± 1.3
random,48,0.6,0.5,0.1,1.573 ± 0.046,44.0 ± 1.5
random,48,0.6,0.5,0.2,1.599 ± 0.034,44.2 ± 1.2
random,48,0.6,0.5,0.3,1.574 ± 0.032,44.8 ± 1.4
random,48,0.6,0.5,0.4,1.569 ± 0.055,51.0 ± 1.4
random,48,0.7,0.5,0.0,1.64 ± 0.051,37.3 ± 1.4
random,48,0.7,0.5,0.1,1.555 ± 0.049,39.4 ± 1.3
random,48,0.7,0.5,0.2,1.584 ± 0.041,40.4 ± 1.2
random,48,0.7,0.5,0.3,1.659 ± 0.062,38.8 ± 1.5
random,48,0.7,0.5,0.4,1.676 ± 0.066,44.6 ± 1.4
random,48,0.8,0.5,0.0,1.593 ± 0.042,36.4 ± 0.97
random,48,0.8,0.5,0.1,1.639 ± 0.046,35.5 ± 1.2
random,48,0.8,0.5,0.2,1.657 ± 0.051,37.2 ± 1.5
random,48,0.8,0.5,0.3,1.621 ± 0.043,36.9 ± 1.1
random,48,0.8,0.5,0.4,1.645 ± 0.069,42.0 ± 1.9
random,48,0.9,0.5,0.0,1.554 ± 0.049,35.9 ± 1.2
random,48,0.9,0.5,0.1,1.576 ± 0.044,36.0 ± 1.3
random,48,0.9,0.5,0.2,1.617 ± 0.057,34.2 ± 1.3
random,48,0.9,0.5,0.3,1.642 ± 0.059,36.6 ± 1.2
random,48,0.9,0.5,0.4,1.672 ± 0.065,38.2 ± 1.2
random,48,1.0,0.5,0.0,1.594 ± 0.04,32.6 ± 1.0
random,48,1.0,0.5,0.1,1.664 ± 0.047,32.1 ± 1.2
random,48,1.0,0.5,0.2,1.613 ± 0.034,34.2 ± 1.1
random,48,1.0,0.5,0.3,1.642 ± 0.056,33.6 ± 1.3
random,48,1.0,0.5,0.4,1.665 ± 0.056,37.0 ± 1.3
random,64,0.1,0.5,0.0,1.657 ± 0.039,186.8 ± 5.0
random,64,0.1,0.5,0.1,1.608 ± 0.04,198.9 ± 6.4
random,64,0.1,0.5,0.2,1.557 ± 0.057,214.3 ± 8.0
random,64,0.1,0.5,0.3,1.611 ± 0.059,217.5 ± 7.3
random,64,0.1,0.5,0.4,1.666 ± 0.057,258.6 ± 9.1
random,64,0.2,0.5,0.0,1.592 ± 0.05,110.8 ± 4.4
random,64,0.2,0.5,0.1,1.571 ± 0.055,115.6 ± 3.9
random,64,0.2,0.5,0.2,1.642 ± 0.049,112.6 ± 3.8
random,64,0.2,0.5,0.3,1.742 ± 0.065,115.0 ± 5.0
random,64,0.2,0.5,0.4,1.75 ± 0.064,136.8 ± 4.6
random,64,0.3,0.5,0.0,1.683 ± 0.054,78.4 ± 2.4
