learned_per_gen,power_fit,polynomial_fit
4,3.6841355293827185,-397.2317319575326
14,2.009235911284032,126.71997614191719
33,,-5.741439733204376
58,,0.24914044029479
89,,-0.002039486901009088
132,,
179,,
233,,
301,,
373,,
454,,
541,,
637,,
737,,
846,,
964,,
1093,,
1225,,
1372,,
1528,,
1686,,
1850,,
2022,,
2209,,
2392,,
2594,,
2802,,
3013,,
3240,,
3476,,
3712,,
3959,,
4212,,
4473,,
4743,,
5021,,
5313,,
5597,,
5902,,
6218,,
6535,,
6857,,
7190,,
7531,,
7872,,
8234,,
8598,,
8968,,
9349,,
9738,,
10133,,
10530,,
10951,,
11363,,
11789,,
12225,,
12659,,
13119,,
13586,,
14048,,
14526,,
15014,,
15507,,
15999,,
16143,,
16237,,
16307,,
16353,,
16375,,
16383,,
16384,,
