learned_per_gen,power_fit
0.000244140625,0.000778330809963168
0.00164794921875,1.8193670534086266
0.005126953125,
0.0098876953125,
0.01617431640625,
0.0234375,
0.03192138671875,
0.04071044921875,
0.05072021484375,
0.06158447265625,
0.0736083984375,
0.08685302734375,
0.1011962890625,
0.116455078125,
0.13250732421875,
0.1488037109375,
0.16558837890625,
0.18267822265625,
0.200927734375,
0.2198486328125,
0.23931884765625,
0.26055908203125,
0.28216552734375,
0.30426025390625,
0.3275146484375,
0.3497314453125,
0.37139892578125,
0.3935546875,
0.416748046875,
0.44061279296875,
0.46417236328125,
0.4888916015625,
0.51409912109375,
0.53973388671875,
0.56610107421875,
0.59271240234375,
0.62042236328125,
0.64556884765625,
0.6710205078125,
0.69677734375,
0.72235107421875,
0.74932861328125,
0.77374267578125,
0.78887939453125,
0.80035400390625,
0.81109619140625,
0.8203125,
0.82861328125,
0.83673095703125,
0.84454345703125,
0.85186767578125,
0.85931396484375,
0.866455078125,
0.87353515625,
0.88031005859375,
0.88665771484375,
0.8929443359375,
0.89898681640625,
0.904541015625,
0.91009521484375,
0.91534423828125,
0.9205322265625,
0.92535400390625,
0.93035888671875,
0.93499755859375,
0.93975830078125,
0.9439697265625,
0.948486328125,
0.9530029296875,
0.9571533203125,
0.96112060546875,
0.965087890625,
0.96875,
0.972412109375,
0.97589111328125,
0.9794921875,
0.9827880859375,
0.98590087890625,
0.989013671875,
0.991943359375,
0.99468994140625,
0.99737548828125,
0.99981689453125,
1.0,
