learned_per_gen,power_fit
0.00043402777777777775,0.0002827727139013098
0.001193576388888889,2.076325243862117
0.0030381944444444445,
0.005425347222222222,
0.008680555555555556,
0.012152777777777778,
0.016384548611111112,
0.021267361111111112,
0.027126736111111112,
0.03298611111111111,
0.040581597222222224,
0.04806857638888889,
0.05783420138888889,
0.06705729166666667,
0.0769314236111111,
0.0886501736111111,
0.10145399305555555,
0.115234375,
0.1294487847222222,
0.14344618055555555,
0.1577690972222222,
0.1733940972222222,
0.1890190972222222,
0.2064887152777778,
0.22623697916666666,
0.24500868055555555,
0.265625,
0.2861328125,
0.3083767361111111,
0.3305121527777778,
0.3534071180555556,
0.3755425347222222,
0.4001736111111111,
0.4263237847222222,
0.4518229166666667,
0.4781901041666667,
0.5037977430555556,
0.5316840277777778,
0.5604383680555556,
0.5906032986111112,
0.6207682291666666,
0.65234375,
0.6856553819444444,
0.7186414930555556,
0.7523871527777778,
0.7859157986111112,
0.8210720486111112,
0.85546875,
0.8842230902777778,
0.9091796875,
0.9268663194444444,
0.9412977430555556,
0.9529079861111112,
0.9626736111111112,
0.9708116319444444,
0.9787326388888888,
0.9842664930555556,
0.9890407986111112,
0.9925130208333334,
0.9954427083333334,
0.9979383680555556,
0.9990234375,
0.9998914930555556,
1.0,
