learned_per_gen,power_fit
0.0009765625,0.0025053582368006317
0.00146484375,1.3066025847416396
0.002197265625,
0.004638671875,
0.0078125,
0.010498046875,
0.014892578125,
0.0205078125,
0.0244140625,
0.031494140625,
0.03662109375,
0.04443359375,
0.051025390625,
0.058837890625,
0.06591796875,
0.076171875,
0.085693359375,
0.09765625,
0.10888671875,
0.12060546875,
0.130126953125,
0.1435546875,
0.154541015625,
0.166015625,
0.176513671875,
0.186279296875,
0.1953125,
0.206298828125,
0.21728515625,
0.22607421875,
0.2353515625,
0.2451171875,
0.256103515625,
0.264404296875,
0.273681640625,
0.28271484375,
0.291259765625,
0.30126953125,
0.30859375,
0.316162109375,
0.32421875,
0.331787109375,
0.341796875,
0.352783203125,
0.36376953125,
0.374755859375,
0.38623046875,
0.395263671875,
0.40625,
0.416015625,
0.428466796875,
0.43603515625,
0.4443359375,
0.453125,
0.463623046875,
0.473876953125,
0.485107421875,
0.497802734375,
0.50927734375,
0.519287109375,
0.53369140625,
0.5478515625,
0.561279296875,
0.572021484375,
0.5830078125,
0.596923828125,
0.60986328125,
0.619140625,
0.62939453125,
0.638671875,
0.649658203125,
0.660400390625,
0.671630859375,
0.68505859375,
0.6982421875,
0.708984375,
0.720947265625,
0.729736328125,
0.74072265625,
0.751220703125,
0.76220703125,
0.775146484375,
0.786376953125,
0.79833984375,
0.81005859375,
0.822265625,
0.83056640625,
0.8388671875,
0.8486328125,
0.857177734375,
0.866943359375,
0.8740234375,
0.8828125,
0.889892578125,
0.897705078125,
0.904296875,
0.9130859375,
0.921630859375,
0.92822265625,
0.9365234375,
0.944580078125,
0.951416015625,
0.957275390625,
0.960205078125,
0.9638671875,
0.96826171875,
0.9716796875,
0.9755859375,
0.978759765625,
0.98193359375,
0.984375,
0.986328125,
0.990234375,
0.9921875,
0.9931640625,
0.994140625,
0.99609375,
0.997314453125,
0.99853515625,
0.999267578125,
0.99951171875,
0.999755859375,
1.0,
