learned_per_gen,power_fit,polynomial_fit
4,1.4354348126821714,-30.369423549285155
6,1.9990270612398546,18.303183665213727
12,,-1.3862726265604586
17,,0.12264617066503172
28,,-0.001429677600055092
40,,
52,,
72,,
94,,
112,,
143,,
176,,
209,,
254,,
297,,
345,,
389,,
435,,
494,,
553,,
616,,
687,,
767,,
840,,
915,,
1002,,
1083,,
1182,,
1279,,
1385,,
1504,,
1621,,
1729,,
1865,,
1984,,
2115,,
2248,,
2391,,
2528,,
2670,,
2828,,
2978,,
3138,,
3279,,
3397,,
3518,,
3605,,
3683,,
3748,,
3807,,
3859,,
3911,,
3952,,
3990,,
4022,,
4048,,
4068,,
4084,,
4093,,
4095,,
4096,,
