learned_per_gen,power_fit
0.0009765625,0.0036354206411635826
0.0087890625,1.7249275396994839
0.0244140625,
0.046630859375,
0.073974609375,
0.107177734375,
0.146240234375,
0.185791015625,
0.229248046875,
0.276611328125,
0.327880859375,
0.383056640625,
0.43896484375,
0.487548828125,
0.537109375,
0.580078125,
0.623046875,
0.666015625,
0.708984375,
0.748291015625,
0.779541015625,
0.801513671875,
0.821044921875,
0.839599609375,
0.857177734375,
0.873779296875,
0.889404296875,
0.904052734375,
0.917724609375,
0.930419921875,
0.942138671875,
0.9501953125,
0.957763671875,
0.96484375,
0.970458984375,
0.9755859375,
0.980224609375,
0.984375,
0.988037109375,
0.9912109375,
0.993896484375,
0.99609375,
0.997802734375,
0.9990234375,
0.999755859375,
1.0,
