seat_config,class_size,λ,m,num_generations
inner_corner,32,0.1,1.8588634550358993,38.333333333333336
inner_corner,32,0.2,2.0763100819602656,24.0
inner_corner,32,0.3,2.240733254573669,17.0
inner_corner,32,0.4,2.356451854101088,14.666666666666666
inner_corner,32,0.5,2.4566358478176515,12.666666666666666
inner_corner,32,0.6,2.5096547353694816,11.0
inner_corner,32,0.7,2.5011167343134706,11.0
inner_corner,32,0.8,2.5758999826314155,10.0
inner_corner,32,0.9,2.562485702795597,10.0
inner_corner,32,1.0,2.603615830391871,9.0
inner_corner,64,0.1,2.0287205524223757,61.666666666666664
inner_corner,64,0.2,2.2299072132020923,39.666666666666664
inner_corner,64,0.3,2.328956241664533,29.666666666666668
inner_corner,64,0.4,2.355810486841874,26.0
inner_corner,64,0.5,2.411967131115035,23.333333333333332
inner_corner,64,0.6,2.398949829573398,21.333333333333332
inner_corner,64,0.7,2.4198131527332505,20.0
inner_corner,64,0.8,2.4189047464996514,19.0
inner_corner,64,0.9,2.4069030687617237,18.0
inner_corner,64,1.0,2.4221742786813225,17.0
inner_corner,128,0.1,2.138097246457194,116.33333333333333
inner_corner,128,0.2,2.183649685261953,68.33333333333333
inner_corner,128,0.3,2.2678309366107525,54.0
inner_corner,128,0.4,2.286944889927549,47.666666666666664
inner_corner,128,0.5,2.311219204312589,43.0
inner_corner,128,0.6,2.3292020710504233,40.0
inner_corner,128,0.7,2.3007197433144646,37.666666666666664
inner_corner,128,0.8,2.2873168596933375,36.0
inner_corner,128,0.9,2.2912045720422043,35.0
inner_corner,128,1.0,2.2851886863962623,33.0
outer_corner,32,0.1,1.707742903095588,53.666666666666664
outer_corner,32,0.2,1.855311253310891,34.0
outer_corner,32,0.3,1.92006516413944,27.333333333333332
outer_corner,32,0.4,1.9666305714995762,23.333333333333332
outer_corner,32,0.5,2.0061971539644348,21.0
outer_corner,32,0.6,2.028711799399689,20.333333333333332
outer_corner,32,0.7,2.0257708666348915,18.666666666666668
outer_corner,32,0.8,2.0106930181438782,18.0
outer_corner,32,0.9,2.017344884112442,17.333333333333332
outer_corner,32,1.0,2.000000000000001,16.0
outer_corner,64,0.1,1.963883214185272,106.66666666666667
outer_corner,64,0.2,2.029620971729191,65.66666666666667
outer_corner,64,0.3,1.9970840318763565,51.333333333333336
outer_corner,64,0.4,2.03037266302903,44.333333333333336
outer_corner,64,0.5,2.0601897787998005,41.333333333333336
outer_corner,64,0.6,2.0571127433665377,38.0
outer_corner,64,0.7,2.02971398350657,36.0
outer_corner,64,0.8,2.016690380320476,35.333333333333336
outer_corner,64,0.9,2.0096814955770315,33.333333333333336
outer_corner,64,1.0,2.000000000000002,32.0
outer_corner,128,0.1,2.0208887411719823,201.66666666666666
outer_corner,128,0.2,2.07502751880581,124.0
outer_corner,128,0.3,2.0796259404484005,98.33333333333333
outer_corner,128,0.4,2.093771201939794,88.0
outer_corner,128,0.5,2.064357511220917,80.0
