learned_per_gen,power_fit
0.00390625,0.005732650053045928
0.0068359375,1.4344247320750185
0.0126953125,
0.0224609375,
0.0361328125,
0.0517578125,
0.072265625,
0.09375,
0.1171875,
0.14453125,
0.166015625,
0.193359375,
0.2109375,
0.2392578125,
0.2802734375,
0.314453125,
0.3486328125,
0.37890625,
0.427734375,
0.4541015625,
0.482421875,
0.5087890625,
0.5400390625,
0.5634765625,
0.5810546875,
0.5966796875,
0.6142578125,
0.6318359375,
0.6513671875,
0.6708984375,
0.6904296875,
0.7109375,
0.73046875,
0.75,
0.7685546875,
0.7841796875,
0.80859375,
0.8203125,
0.83984375,
0.857421875,
0.8701171875,
0.8837890625,
0.8935546875,
0.904296875,
0.9111328125,
0.92578125,
0.935546875,
0.94921875,
0.9599609375,
0.9736328125,
0.984375,
0.9921875,
0.99609375,
0.9990234375,
1.0,
